medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
6CE20A8D4E3097006E4C4BD9D7A01BC4,5AB780C26F271BCC936001F179505F57,VTS,1,,2013-01-13 04:45:00,2013-01-13 04:53:00,1,480,1.24,-73.987244,40.691673,-73.999184,40.684605
C9C38B1BAB28CB7F054EE5284A896813,76C5264BF178CCE692DC30659D5BC65F,VTS,1,,2013-01-13 04:29:00,2013-01-13 04:53:00,1,1440,13.13,-73.987808,40.724197,-73.89093,40.870056
C7CD5A324582EFE8885A3B2B02124B3F,2590F0470D831D60C93B71D3142136B8,VTS,1,,2013-01-13 04:41:00,2013-01-13 04:54:00,1,780,3.70,-73.899117,40.740471,-73.988609,40.758343
91E26392B0FB090B4E2F95ADBEFAA71D,A49DF469291B8C1368E21BD6E8465007,VTS,1,,2013-01-13 04:46:00,2013-01-13 04:54:00,1,480,2.43,-73.990067,40.719196,-73.988708,40.703445
8E1304AD65AE6861005460130F2BF7CD,5918599E17065EE640C8543A5C7A703B,VTS,1,,2013-01-13 04:43:00,2013-01-13 04:54:00,1,660,2.91,-73.98526,40.723694,-73.994125,40.751377
43A470E49950BEF5E3AA469451D1D712,E17E357261AAA1B586B528B61EAF47B5,VTS,1,,2013-01-13 11:03:00,2013-01-13 11:11:00,2,480,3.01,-73.990875,40.717991,-73.956131,40.721462
8D703561DA6CDC7AA1A167E04A9210A7,7954C46FFFAD655FB0D967EF84B7A4C2,VTS,1,,2013-01-13 10:50:00,2013-01-13 11:15:00,3,1500,9.36,-73.963066,40.763454,-73.849442,40.718983
9D00F31E2C114E3699A745BC9E7BFCE9,06202D9C9692F4D185623C2433C98816,VTS,1,,2013-01-13 11:07:00,2013-01-13 11:15:00,1,480,1.62,-73.981895,40.763424,-73.958611,40.769043
415D96E0402F90C23653AA6C528E6170,058499B279AF2A52FFD51AF584ECBF7F,VTS,1,,2013-01-13 11:12:00,2013-01-13 11:15:00,1,180,.92,-73.972404,40.786316,-73.979546,40.776379
A1F57C8D764D70CD18D2C0F2A98A6D0D,DD2E75E9CC0FDC407B3876B1B9BD765D,VTS,1,,2013-01-13 11:04:00,2013-01-13 11:10:00,5,360,.82,-73.963905,40.765224,-73.968475,40.767056
E9724F18B4BB26B5F9A0EFD52B1B3806,A09BF801A198247D57595312536D8DFA,VTS,1,,2013-01-13 11:06:00,2013-01-13 11:11:00,5,300,1.47,-73.990067,40.732967,-73.978943,40.749866
A4142B3536A686E0AF19544F86E1FE08,1DFB6ABFDBAF56D39F22345566611939,VTS,1,,2013-01-13 11:08:00,2013-01-13 11:14:00,1,360,1.24,-73.984138,40.746597,-74.002083,40.755959
0B3FAB0F479B74ECFDB842356299CA28,F8F334BD7A3AAFD6D04089FA22EDEB62,VTS,1,,2013-01-13 11:04:00,2013-01-13 11:10:00,1,360,1.83,-73.957672,40.773907,-73.940475,40.789078
A9169F03DD4BFB1C99D569F545677785,541971D6CD83C593CFD5BD16B5B7407A,VTS,1,,2013-01-13 11:03:00,2013-01-13 11:14:00,2,660,1.57,-73.972054,40.757042,-73.991531,40.749935
6E457D6CA7D84C15E339D840D62D424B,6566A9F92D5ADE688080EFA7C37844C6,VTS,1,,2013-01-13 11:10:00,2013-01-13 11:13:00,1,180,.70,-73.966454,40.753635,-73.962364,40.76104
F5E79A20EF60D6A10E8438D09BB66C9B,A727201A73D720CF79A1F5D018198BAE,VTS,1,,2013-01-13 10:51:00,2013-01-13 11:15:00,1,1440,11.31,-73.873016,40.774021,-73.986305,40.751347
404BF4FD48C248543BC8A2C2C8BE673A,4BF99B6BB342AC324A502FD1B38DE359,VTS,1,,2013-01-13 11:05:00,2013-01-13 11:14:00,1,540,2.23,-73.97229,40.746586,-73.963989,40.770432
532C971E926E4374323242A9770EF97B,BFBB33E7EAB2A51A6E3A8A2E08CD8A6A,VTS,1,,2013-01-13 11:04:00,2013-01-13 11:14:00,3,600,4.07,-74.006737,40.731556,-73.981895,40.778374
834DBD712775DC97F361886D81DD2D67,5D5E5B94F9FEE1671958BD65635FBCDD,VTS,1,,2013-01-13 11:10:00,2013-01-13 11:14:00,6,240,1.20,-73.951889,40.769321,-73.965851,40.762024
47BC597106ED8E7FD467C30ECDFDC80C,E9F549B2A082D94B5CDE98F6D1AA321D,VTS,1,,2013-01-13 11:01:00,2013-01-13 11:26:00,1,1500,9.97,-73.86277,40.769131,-73.976555,40.790596
A92391D2BE7209AEB6B1F3628823CDBA,4291C4AB5CBEFCE11113B65169252F1A,VTS,1,,2013-01-13 11:02:00,2013-01-13 11:12:00,1,600,3.33,-73.998856,40.764526,-74.006561,40.722656
710CAE26B9D7A9621DE7F8AF4B3EFDF6,AD43819C46BE3C34A67A3A4B5EE4713F,VTS,1,,2013-01-13 11:06:00,2013-01-13 11:12:00,1,360,1.31,-73.95195,40.769367,-73.968178,40.762749
802775B8F6D537CE84801FB6E58C460D,FB5D8363303C477C50A7F3B83C590196,VTS,1,,2013-01-13 10:37:00,2013-01-13 10:42:00,4,300,1.03,-73.919418,40.743374,-73.990273,40.738541
8F83298E9A9EBB4468F29156838CB0FF,F4AB00C40D5768BF9F2C11D5DB506B37,VTS,1,,2013-01-13 11:12:00,2013-01-13 11:15:00,1,180,.36,-73.991364,40.746399,-73.991562,40.748951
D8355B560482C567FAD4EECA88289FED,59B89F77A8033E3BC34C04E55256AF05,VTS,1,,2013-01-13 11:02:00,2013-01-13 11:14:00,5,720,1.62,-73.974388,40.74892,-73.992775,40.749382
7CD2DB7F5EF3B4DBD6A6D4A07F89EA4C,7287DB3FAC4F33FF1344E0AB3527983E,VTS,2,,2013-01-13 10:23:00,2013-01-13 10:49:00,1,1560,16.41,-73.989189,40.747997,-73.786629,40.639347
0E5EFB23F69C7377D937DFA6CE8B7775,F98D05D47B2F8FCDF05D429DABD70471,VTS,1,,2013-01-13 10:44:00,2013-01-13 10:52:00,1,480,1.90,-73.982216,40.775429,-73.963264,40.781948
FE070CB6D45F0E2DBA6A9E67EE7FABD1,DDC6A71F6D5850DD9F2E35CC2A23B75F,VTS,1,,2013-01-13 10:48:00,2013-01-13 10:53:00,5,300,1.62,-73.99511,40.759991,-73.982147,40.777611
BEC947091422A859241E312B314C6EFC,CA4AF8FD778953A7746CED994251ED96,VTS,1,,2013-01-13 10:41:00,2013-01-13 10:54:00,2,780,2.14,-73.978745,40.73119,-74.004402,40.724846
6302443EB63A4A8D381F836ED61E35B0,6DFD4B3735C15182DF1546ED77636F30,VTS,1,,2013-01-13 10:43:00,2013-01-13 10:52:00,5,540,2.39,-73.979645,40.780945,-73.952866,40.798481
0030AD2648D81EE87796445DB61FCF20,C87F7E83E6032DB2B254EF24734FC4ED,VTS,1,,2013-01-13 02:58:00,2013-01-13 03:07:00,1,540,2.10,-73.986839,40.726585,-73.993355,40.746483
4C73459B430339981D78795300433438,3F04F700CC3A6072C319596C149428C2,VTS,1,,2013-01-13 02:44:00,2013-01-13 03:05:00,2,1260,10.65,-74.013947,40.70483,-73.988815,40.621159
A54524849CA52F80DFBD1BC55630B072,3340D4583D7BB24200649CBD51AC566B,VTS,1,,2013-01-13 02:58:00,2013-01-13 03:08:00,1,600,3.77,-73.921951,40.755386,-73.973114,40.75016
EAB4496C73EED0F25FF2AD0FA13326F4,F21EE15B8F1B50C7B0C56E2E4A0261E3,VTS,1,,2013-01-13 02:54:00,2013-01-13 03:05:00,1,660,2.95,-74.004364,40.747719,-73.967766,40.756153
C618460646E8DF2BBFB2110D236802E2,BB9CC2F3A6347818E54395ECBC7E96EA,VTS,1,,2013-01-13 02:54:00,2013-01-13 03:06:00,2,720,3.24,-73.989761,40.719147,-73.968147,40.758919
35BF237AADF38E3EC9B7899C0A1507F2,FEED86C7DBD40E99C761820CAC0A0E56,VTS,1,,2013-01-13 10:14:00,2013-01-13 10:19:00,5,300,1.14,-73.988701,40.769302,-74.000397,40.758427
0A79E272A73271505BA151ED0F9B9BB8,BBE7FC587418DCD3C556647D6D30C9FB,VTS,1,,2013-01-13 10:15:00,2013-01-13 10:19:00,1,240,1.43,-73.951271,40.785385,-73.9617,40.771336
ABC7308241D26C44B33B12283DDC07A3,34F4D4015173FF075479A9CCE4D0E52F,VTS,1,,2013-01-13 10:14:00,2013-01-13 10:20:00,1,360,1.16,-73.94902,40.803013,-73.932365,40.794773
21F7D9C33000FF1E80A9581AF6BC1A4F,5354F6C61343EE3B6586EC91C20786A7,VTS,1,,2013-01-13 10:05:00,2013-01-13 10:19:00,1,840,7.74,-74.00074,40.757904,-73.972054,40.726048
BC265F0CC3EEEDF7B385BEB03132E20C,E74CD9FC37707176C4CAF39941107AFA,VTS,1,,2013-01-13 10:14:00,2013-01-13 10:19:00,1,300,1.15,-73.969971,40.784622,-73.98243,40.77898
